datetime,sessionTime,HR
250708193527.665,0.460,69
250708193528.667,1.460,69
250708193529.668,2.460,69
250708193530.669,3.460,70
250708193531.672,4.480,70
250708193532.676,5.480,69
250708193533.679,6.480,69
250708193534.680,7.480,69
250708193535.681,8.480,69
250708193536.686,9.480,68
250708193537.689,10.480,69
250708193538.693,11.500,69
250708193539.696,12.500,68
250708193540.697,13.500,69
250708193541.700,14.500,69
250708193542.702,15.500,69
250708193543.703,16.500,69
250708193544.706,17.500,69
250708193545.708,18.500,69
250708193546.709,19.500,69
250708193547.712,20.500,69
250708193548.713,21.520,69
250708193549.716,22.520,69
250708193550.719,23.520,69
250708193551.723,24.520,69
250708193552.726,25.520,70
250708193553.729,26.520,69
250708193554.730,27.520,69
250708193555.731,28.520,69
250708193556.734,29.540,68
250708193557.737,30.540,69
250708193558.739,31.540,69
250708193559.741,32.540,70
250708193600.744,33.540,69
250708193601.747,34.540,69
250708193602.748,35.540,70
250708193603.754,36.560,70
250708193604.758,37.560,70
250708193605.761,38.560,70
250708193606.764,39.560,70
250708193607.765,40.560,69
250708193608.768,41.560,69
250708193609.769,42.560,69
250708193610.771,43.560,68
250708193611.772,44.580,68
250708193612.774,45.580,68
250708193613.775,46.580,67
250708193614.777,47.580,67
250708193615.778,48.580,66
250708193616.786,49.580,67
250708193617.787,50.580,67
250708193618.789,51.580,67
250708193619.792,52.580,67
250708193620.794,53.600,67
250708193621.794,54.600,66
250708193622.797,55.600,67
250708193623.798,56.600,66
250708193624.800,57.600,66
250708193625.800,58.600,65
250708193626.803,59.600,65
250708193627.806,60.600,65
