datetime,sessionTime,RMSSD
250708193536.687,0.460,8.953
250708193536.687,1.460,8.953
250708193537.689,2.460,11.061
250708193538.693,3.460,10.797
250708193539.696,4.480,10.443
250708193540.697,5.480,11.005
250708193541.700,6.480,10.098
250708193542.702,7.480,9.658
250708193543.704,8.480,9.187
250708193544.706,9.480,9.637
250708193545.708,10.480,8.684
250708193546.709,11.500,5.913
250708193547.712,12.500,6.737
250708193548.713,13.500,7.562
250708193549.716,14.500,7.264
250708193550.719,15.500,8.422
250708193551.723,16.500,8.555
250708193552.726,17.500,8.934
250708193553.729,18.500,8.601
250708193554.730,19.500,11.188
250708193555.732,20.500,11.073
250708193556.734,21.520,11.348
250708193557.737,22.520,10.818
250708193558.739,23.520,10.691
250708193559.741,24.520,10.602
250708193600.744,25.520,10.972
250708193601.747,26.520,10.785
250708193602.749,27.520,10.675
250708193603.754,28.520,8.097
250708193604.758,29.540,8.196
250708193605.761,30.540,7.601
250708193606.764,31.540,7.964
250708193607.765,32.540,10.611
250708193608.768,33.540,9.793
250708193609.769,34.540,10.889
250708193610.771,35.540,10.938
250708193611.772,36.560,10.830
250708193612.774,37.560,11.298
250708193613.775,38.560,11.731
250708193614.777,39.560,11.900
250708193615.779,40.560,12.498
250708193616.786,41.560,10.445
250708193617.789,42.560,10.880
250708193618.789,43.560,9.248
250708193619.792,44.580,9.049
250708193620.794,45.580,8.981
250708193621.794,46.580,8.416
250708193622.799,47.580,7.635
250708193623.799,48.580,9.253
250708193624.800,49.580,8.091
250708193625.802,50.580,10.512
250708193626.803,51.580,12.794
250708193627.807,52.580,12.886
250708193628.735,53.600,12.886
250708193628.735,54.600,12.886
250708193628.735,55.600,12.886
250708193628.736,56.600,12.886
250708193628.736,57.600,12.886
250708193628.736,58.600,12.886
250708193628.736,59.600,12.886
250708193628.736,60.600,12.886
