datetime,sessionTime,RRi
250708193527.665,0.460,811,619
250708193528.667,1.460,816,619
250708193529.668,2.460,807,622
250708193530.669,3.460,799,083
250708193531.672,4.480,800,207
250708193532.676,5.480,813,542
250708193533.679,6.480,822,586
250708193534.680,7.480,831,791
250708193535.681,8.480,825,585
250708193536.686,9.480,838,171
250708193537.689,10.480,818,055
250708193538.693,11.500,823,442
250708193539.696,12.500,825,726
250708193540.697,13.500,815,246
250708193541.700,14.500,812,879
250708193542.702,15.500,810,993
250708193543.704,16.500,813,173
250708193544.706,17.500,823,887
250708193545.708,18.500,822,748
250708193546.709,19.500,816,375
250708193547.712,20.500,827,457
250708193548.713,21.520,816,900
250708193549.716,22.520,825,268
250708193550.719,23.520,812,262
250708193551.723,24.520,807,377
250708193552.726,25.520,799,351
250708193553.729,26.520,807,240
250708193554.730,27.520,828,736
250708193555.732,28.520,824,556
250708193556.734,29.540,837,907
250708193557.737,30.540,835,505
250708193558.739,31.540,828,766
250708193559.741,32.540,816,434
250708193600.744,33.540,826,221
250708193601.747,34.540,820,949
250708193602.748,35.540,814,552
250708193603.754,36.560,809,405
250708193604.758,37.560,803,738
250708193605.761,38.560,794,062
250708193606.764,39.560,801,585
250708193607.765,40.560,823,676
250708193608.768,41.560,825,020
250708193609.769,42.560,842,332
250708193610.771,43.560,848,460
250708193611.772,44.580,852,907
250708193612.774,45.580,863,848
250708193613.775,46.580,874,880
250708193614.777,47.580,886,265
250708193615.779,48.580,899,970
250708193616.786,49.580,891,955
250708193617.789,50.580,882,723
250708193618.789,51.580,884,723
250708193619.792,52.580,886,941
250708193620.794,53.600,889,880
250708193621.794,54.600,895,475
250708193622.799,55.600,892,509
250708193623.798,56.600,911,889
250708193624.800,57.600,914,432
250708193625.802,58.600,936,104
250708193626.803,59.600,959,848
250708193627.807,60.600,964,875
