datetime,sessionTime,SDNN
250708193537.197,9.480,12.923
250708193547.195,19.500,7.845
250708193557.193,29.540,11.434
250708193607.189,39.560,14.219
250708193617.187,49.580,31.268
250708193627.186,59.600,24.464
