datetime,sessionTime,SDNN
250708192357.260,9.300,11.811
250708192407.255,19.320,8.625
250708192417.252,29.340,12.686
250708192427.250,39.360,14.187
250708192437.247,49.380,8.292
250708192447.242,59.420,14.474
