datetime,sessionTime,RMSSD
250708192356.559,0.260,8.772
250708192356.559,1.260,8.772
250708192357.561,2.260,8.788
250708192358.563,3.260,8.390
250708192359.566,4.260,7.146
250708192400.570,5.260,7.058
250708192401.572,6.280,6.206
250708192402.573,7.280,6.243
250708192403.578,8.280,5.414
250708192404.581,9.300,5.430
250708192405.582,10.300,5.709
250708192406.583,11.300,6.116
250708192407.583,12.300,8.838
250708192408.584,13.300,10.103
250708192409.587,14.300,9.469
250708192410.589,15.300,9.883
250708192411.590,16.320,9.879
250708192412.595,17.320,9.385
250708192413.595,18.320,10.106
250708192414.599,19.320,9.934
250708192415.600,20.320,10.571
250708192416.603,21.320,9.487
250708192417.603,22.320,8.969
250708192418.605,23.320,9.881
250708192419.605,24.320,9.998
250708192420.606,25.320,10.132
250708192421.610,26.320,10.690
250708192422.610,27.340,9.994
250708192423.612,28.340,10.698
250708192424.614,29.340,10.489
250708192425.617,30.340,9.618
250708192426.622,31.340,9.321
250708192427.625,32.340,8.886
250708192428.629,33.340,8.757
250708192429.632,34.340,8.610
250708192430.634,35.340,7.949
250708192431.636,36.340,7.955
250708192432.639,37.340,7.059
250708192433.642,38.360,7.224
250708192434.645,39.360,7.166
250708192435.650,40.360,6.285
250708192436.652,41.360,5.991
250708192437.653,42.360,6.658
250708192438.658,43.360,6.635
250708192439.659,44.360,6.784
250708192440.660,45.380,6.781
250708192441.663,46.380,8.146
250708192442.666,47.380,8.117
250708192443.669,48.380,8.314
250708192444.673,49.380,8.421
250708192445.677,50.380,9.076
250708192446.678,51.400,8.322
250708192447.680,52.400,8.306
250708192448.680,53.400,8.479
250708192449.686,54.400,8.928
250708192450.029,55.400,8.928
250708192450.029,56.400,8.928
250708192450.029,57.400,8.928
250708192450.030,58.420,8.928
250708192450.030,59.420,8.928
250708192450.030,60.420,8.928
250708192450.030,61.420,8.928
250708192450.030,62.420,8.928
