datetime,sessionTime,RRi
250708192347.525,0.260,779,572
250708192348.527,1.260,778,828
250708192349.529,2.260,786,757
250708192350.531,3.260,772,191
250708192351.532,4.260,760,977
250708192352.535,5.260,750,821
250708192353.537,6.280,751,456
250708192354.539,7.280,764,636
250708192355.542,8.280,766,249
250708192356.558,9.300,769,616
250708192357.561,10.300,771,373
250708192358.563,11.300,772,488
250708192359.566,12.300,766,299
250708192400.570,13.300,776,995
250708192401.572,14.300,775,769
250708192402.572,15.300,773,647
250708192403.578,16.320,764,333
250708192404.580,17.320,762,291
250708192405.582,18.320,756,021
250708192406.583,19.320,749,207
250708192407.583,20.320,730,036
250708192408.584,21.320,714,100
250708192409.587,22.320,715,796
250708192410.589,23.320,724,373
250708192411.590,24.320,726,329
250708192412.595,25.320,727,389
250708192413.595,26.320,715,964
250708192414.599,27.340,713,064
250708192415.600,28.340,700,260
250708192416.603,29.340,713,364
250708192417.603,30.340,726,323
250708192418.605,31.340,713,767
250708192419.605,32.340,704,047
250708192420.606,33.340,698,746
250708192421.610,34.340,688,463
250708192422.610,35.340,689,473
250708192423.611,36.340,677,665
250708192424.614,37.340,688,809
250708192425.617,38.360,692,564
250708192426.622,39.360,703,393
250708192427.625,40.360,712,683
250708192428.629,41.360,721,291
250708192429.632,42.360,719,037
250708192430.634,43.360,721,721
250708192431.636,44.360,723,109
250708192432.639,45.380,718,828
250708192433.642,46.380,730,883
250708192434.645,47.380,728,320
250708192435.650,48.380,725,058
250708192436.652,49.380,732,401
250708192437.653,50.380,744,648
250708192438.658,51.400,743,114
250708192439.658,52.400,748,125
250708192440.660,53.400,749,403
250708192441.663,54.400,735,199
250708192442.666,55.400,723,321
250708192443.669,56.400,729,290
250708192444.673,57.400,724,121
250708192445.677,58.420,711,585
250708192446.678,59.420,705,944
250708192447.680,60.420,705,907
250708192448.680,61.420,698,752
250708192449.686,62.420,690,265
