datetime,sessionTime,HR
250708192347.525,0.260,71
250708192348.527,1.260,71
250708192349.529,2.260,71
250708192350.531,3.260,72
250708192351.532,4.260,72
250708192352.535,5.260,72
250708192353.537,6.280,72
250708192354.539,7.280,72
250708192355.542,8.280,72
250708192356.558,9.300,72
250708192357.561,10.300,71
250708192358.563,11.300,71
250708192359.566,12.300,72
250708192400.570,13.300,71
250708192401.572,14.300,71
250708192402.572,15.300,71
250708192403.578,16.320,72
250708192404.580,17.320,72
250708192405.582,18.320,72
250708192406.583,19.320,73
250708192407.583,20.320,74
250708192408.584,21.320,74
250708192409.587,22.320,74
250708192410.589,23.320,74
250708192411.590,24.320,73
250708192412.595,25.320,73
250708192413.595,26.320,74
250708192414.599,27.340,74
250708192415.600,28.340,75
250708192416.603,29.340,74
250708192417.603,30.340,73
250708192418.604,31.340,74
250708192419.605,32.340,74
250708192420.606,33.340,75
250708192421.610,34.340,75
250708192422.610,35.340,75
250708192423.611,36.340,76
250708192424.614,37.340,75
250708192425.617,38.360,75
250708192426.622,39.360,74
250708192427.625,40.360,74
250708192428.628,41.360,73
250708192429.632,42.360,73
250708192430.634,43.360,73
250708192431.636,44.360,73
250708192432.639,45.380,73
250708192433.640,46.380,73
250708192434.645,47.380,73
250708192435.650,48.380,73
250708192436.652,49.380,73
250708192437.653,50.380,72
250708192438.657,51.400,72
250708192439.658,52.400,72
250708192440.660,53.400,72
250708192441.663,54.400,72
250708192442.666,55.400,73
250708192443.669,56.400,73
250708192444.673,57.400,73
250708192445.677,58.420,74
250708192446.678,59.420,74
250708192447.679,60.420,74
250708192448.680,61.420,74
250708192449.686,62.420,75
