datetime,sessionTime,RMSSD
250707145734.670,0.700,32.015
250707145734.671,1.700,32.015
250707145735.749,2.680,31.701
250707145736.737,3.720,26.812
250707145737.682,4.660,26.381
250707145738.672,4.660,25.928
250707145738.675,5.700,24.029
250707145739.662,6.700,24.483
250707145740.699,7.680,27.394
250707145741.687,8.680,27.845
250707145742.681,9.760,24.440
250707145743.668,10.740,24.312
250707145744.705,11.680,25.470
250707145745.693,12.680,26.607
250707145746.684,12.680,27.671
250707145746.687,13.660,27.913
250707145747.673,14.700,27.408
250707145748.663,15.700,24.117
250707145749.698,16.680,28.819
250707145750.689,17.680,29.944
250707145751.678,18.700,27.398
250707145751.680,19.700,26.097
250707145752.669,20.680,25.305
250707145753.704,20.680,24.016
250707145754.693,21.680,24.016
250707145755.682,22.660,24.227
250707145756.673,23.700,24.752
250707145757.709,24.700,20.363
250707145758.698,25.680,20.589
250707145758.700,25.680,21.286
250707145759.691,26.680,21.086
250707145800.678,27.700,20.066
250707145801.668,28.700,20.066
250707145804.635,29.680,19.747
250707145804.641,30.680,20.505
250707145804.685,31.720,20.130
250707145804.692,32.700,18.104
250707145805.672,32.700,20.266
250707145806.665,33.700,17.351
250707145807.702,34.680,20.404
250707145808.687,35.680,19.392
250707145808.690,36.220,19.482
250707145809.727,36.220,22.726
250707145812.463,36.260,22.900
250707145812.468,36.260,23.052
250707145812.740,37.260,25.042
250707145813.685,38.260,22.580
250707145813.687,39.280,23.530
250707145814.673,40.280,21.654
250707145815.663,40.280,25.082
250707145816.173,41.320,25.082
250707145816.173,41.380,25.082
250707145816.173,41.380,25.082
250707145816.173,41.660,25.082
250707145816.173,42.620,25.082
250707145816.173,42.620,25.082
250707145816.173,43.600,25.082
250707145816.174,44.600,25.082
