datetime,sessionTime,HR
250707145726.699,0.700,70
250707145727.691,1.700,69
250707145728.682,2.680,69
250707145729.715,3.720,69
250707145730.660,4.660,68
250707145731.697,5.700,68
250707145732.687,6.700,68
250707145733.677,7.680,68
250707145734.666,8.680,68
250707145735.743,9.760,68
250707145736.734,10.740,68
250707145737.679,11.680,68
250707145738.669,12.680,68
250707145739.659,13.660,68
250707145740.697,14.700,67
250707145741.685,15.700,67
250707145742.677,16.680,67
250707145743.666,17.680,67
250707145744.701,18.700,67
250707145745.690,19.700,67
250707145746.681,20.680,68
250707145747.671,21.680,68
250707145748.661,22.660,68
250707145749.695,23.700,68
250707145750.686,24.700,68
250707145751.675,25.680,69
250707145752.666,26.680,69
250707145753.701,27.700,70
250707145754.691,28.700,70
250707145755.680,29.680,70
250707145756.669,30.680,70
250707145757.706,31.720,70
250707145758.695,32.700,70
250707145759.688,33.700,69
250707145800.674,34.680,69
250707145801.664,35.680,69
250707145804.630,36.220,69
250707145804.630,36.220,70
250707145804.680,36.260,69
250707145805.669,37.260,70
250707145806.662,38.260,70
250707145807.698,39.280,69
250707145808.684,40.280,70
250707145809.722,41.320,70
250707145812.457,41.380,70
250707145812.457,41.380,71
250707145812.734,41.660,71
250707145813.681,42.620,71
250707145814.670,43.600,71
250707145815.660,44.600,72
