datetime,sessionTime,type,message,details
250715165437.206,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250715165437.240,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250715165437.240,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250715165437.264,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250715165447.266,6.280,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250715165447.292,6.280,Screenshots,screen_1920x1080_2.jpg,NONE
250715165447.525,6.280,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250715165447.550,6.280,Screenshots,screen_1920x1080_3.jpg,NONE
250715165447.550,6.280,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250715165447.574,6.280,Screenshots,screen_1920x1080_4.jpg,NONE
250715165501.007,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250715165521.008,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250715165522.297,41.320,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250715165522.328,41.320,Screenshots,screen_1920x1080_7.jpg,NONE
250715165522.328,41.320,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250715165522.360,41.320,Screenshots,screen_1920x1080_8.jpg,NONE
250715165527.370,46.380,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250715165527.392,46.380,Screenshots,screen_1920x1080_9.jpg,NONE
250715165527.392,46.380,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250715165527.413,46.380,Screenshots,screen_1920x1080_10.jpg,NONE
250715165541.009,60.000,Screenshots,screen_1920x1080_11.jpg,NONE
