datetime,sessionTime,RRi
250707145415.677,0.680,923.828
250707145416.668,1.680,966.797
250707145417.748,2.760,996.094
250707145418.734,3.740,950.195
250707145419.681,4.680,939.453
250707145420.671,5.680,969.727
250707145421.706,6.720,966.797
250707145422.697,7.700,906.250
250707145423.686,8.700,898.438
250707145424.674,9.680,949.219
250707145425.667,10.680,985.352
250707145426.702,11.700,997.070
250707145427.691,12.700,953.125
250707145428.682,13.680,965.820
250707145428.683,13.680,970.703
250707145429.671,14.680,921.875
250707145430.706,15.720,813.477
