datetime,sessionTime,RMSSD
250708191848.472,0.260,11.990
250708191848.472,1.260,11.990
250708191849.472,2.260,13.498
250708191850.476,3.260,12.887
250708191851.480,4.260,12.591
250708191852.481,5.260,13.760
250708191853.482,6.260,12.781
250708191854.484,7.260,12.226
250708191855.490,8.260,12.569
250708191856.489,9.260,12.555
250708191857.489,10.260,13.864
250708191858.492,11.280,12.589
250708191859.495,12.280,13.499
250708191900.498,13.280,13.694
250708191901.503,14.280,11.984
250708191902.506,15.280,11.218
250708191903.507,16.280,11.402
250708191904.508,17.280,12.088
250708191905.510,18.280,12.224
250708191906.513,19.280,10.383
250708191907.516,20.300,10.135
250708191908.515,21.300,8.957
250708191909.519,22.300,9.022
250708191910.522,23.300,8.508
250708191911.523,24.300,8.608
250708191912.527,25.300,9.004
250708191913.532,26.300,9.383
250708191914.534,27.300,8.429
250708191915.537,28.320,9.387
250708191916.541,29.320,11.451
250708191917.542,30.320,11.465
250708191918.544,31.320,11.540
250708191919.544,32.320,11.496
250708191920.545,33.320,12.035
250708191921.549,34.320,11.633
250708191922.548,35.320,10.913
250708191923.554,36.340,11.481
250708191924.554,37.340,10.640
250708191925.557,38.340,8.507
250708191926.558,39.340,9.601
250708191927.559,40.340,9.459
250708191928.560,41.340,9.586
250708191929.563,42.340,9.003
250708191930.563,43.340,9.019
250708191931.564,44.360,8.083
250708191932.570,45.360,9.229
250708191933.573,46.360,10.798
250708191934.574,47.360,10.750
250708191935.577,48.360,9.568
250708191936.577,49.360,11.862
250708191937.578,50.360,12.867
250708191938.582,51.360,12.929
250708191939.404,52.360,12.929
250708191939.404,53.360,12.929
250708191939.404,54.360,12.929
250708191939.404,55.360,12.929
250708191939.404,56.380,12.929
250708191939.404,57.380,12.929
250708191939.404,58.380,12.929
250708191939.404,59.380,12.929
