datetime,sessionTime,HR
250708191839.458,0.260,69
250708191840.462,1.260,69
250708191841.461,2.260,70
250708191842.462,3.260,70
250708191843.466,4.260,70
250708191844.467,5.260,69
250708191845.469,6.260,70
250708191846.471,7.260,70
250708191847.472,8.260,69
250708191848.472,9.260,70
250708191849.472,10.260,70
250708191850.476,11.280,70
250708191851.480,12.280,69
250708191852.479,13.280,69
250708191853.482,14.280,68
250708191854.484,15.280,68
250708191855.490,16.280,68
250708191856.489,17.280,67
250708191857.489,18.280,68
250708191858.491,19.280,67
250708191859.495,20.300,68
250708191900.498,21.300,67
250708191901.503,22.300,67
250708191902.506,23.300,67
250708191903.506,24.300,67
250708191904.507,25.300,67
250708191905.510,26.300,67
250708191906.512,27.300,68
250708191907.516,28.320,68
250708191908.515,29.320,67
250708191909.519,30.320,67
250708191910.522,31.320,67
250708191911.523,32.320,67
250708191912.527,33.320,66
250708191913.532,34.320,67
250708191914.532,35.320,67
250708191915.537,36.340,67
250708191916.541,37.340,68
250708191917.541,38.340,68
250708191918.543,39.340,67
250708191919.544,40.340,68
250708191920.545,41.340,67
250708191921.549,42.340,67
250708191922.548,43.340,67
250708191923.554,44.360,66
250708191924.554,45.360,66
250708191925.557,46.360,66
250708191926.557,47.360,66
250708191927.559,48.360,66
250708191928.559,49.360,67
250708191929.561,50.360,67
250708191930.563,51.360,67
250708191931.564,52.360,67
250708191932.568,53.360,67
250708191933.572,54.360,67
250708191934.573,55.360,67
250708191935.577,56.380,67
250708191936.577,57.380,66
250708191937.577,58.380,67
250708191938.582,59.380,66
