datetime,sessionTime,type,message,details
250716105919.778,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250716105919.814,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250716105919.816,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250716105919.838,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250716105929.843,8.460,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250716105929.869,8.460,Screenshots,screen_1920x1080_2.jpg,NONE
250716105930.115,8.460,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250716105930.140,8.460,Screenshots,screen_1920x1080_3.jpg,NONE
250716105930.141,8.460,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250716105930.162,8.460,Screenshots,screen_1920x1080_4.jpg,NONE
250716105941.409,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250716110001.412,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250716110004.876,43.480,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250716110004.905,43.480,Screenshots,screen_1920x1080_7.jpg,NONE
250716110004.905,43.480,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250716110004.933,43.480,Screenshots,screen_1920x1080_8.jpg,NONE
250716110009.953,48.560,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250716110009.977,48.560,Screenshots,screen_1920x1080_9.jpg,NONE
250716110009.977,48.560,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250716110009.998,48.560,Screenshots,screen_1920x1080_10.jpg,NONE
250716110021.412,60.000,Screenshots,screen_1920x1080_11.jpg,NONE
250716110041.411,80.000,Screenshots,screen_1920x1080_12.jpg,NONE
250716110044.941,83.560,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250716110044.969,83.560,Screenshots,screen_1920x1080_13.jpg,NONE
250716110044.969,83.560,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250716110044.997,83.560,Screenshots,screen_1920x1080_14.jpg,NONE
250716110050.028,88.620,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250716110050.063,88.620,Screenshots,screen_1920x1080_15.jpg,NONE
250716110050.063,88.620,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250716110050.090,88.620,Screenshots,screen_1920x1080_16.jpg,NONE
250716110101.416,100.000,Screenshots,screen_1920x1080_17.jpg,NONE
250716110121.422,120.000,Screenshots,screen_1920x1080_18.jpg,NONE
250716110125.001,123.620,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250716110125.031,123.620,Screenshots,screen_1920x1080_19.jpg,NONE
250716110125.031,123.620,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250716110125.060,123.620,Screenshots,screen_1920x1080_20.jpg,NONE
250716110130.124,128.680,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250716110130.148,128.680,Screenshots,screen_1920x1080_21.jpg,NONE
250716110130.148,128.680,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250716110130.169,128.680,Screenshots,screen_1920x1080_22.jpg,NONE
250716110141.419,140.020,Screenshots,screen_1920x1080_23.jpg,NONE
250716110201.420,160.020,Screenshots,screen_1920x1080_24.jpg,NONE
250716110205.063,163.680,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250716110205.088,163.680,Screenshots,screen_1920x1080_25.jpg,NONE
250716110205.088,163.680,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250716110205.109,163.680,Screenshots,screen_1920x1080_26.jpg,NONE
250716110205.111,163.680,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250716110205.131,163.680,Screenshots,screen_1920x1080_27.jpg,NONE
