datetime,sessionTime,type,message,details
250715172945.621,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250715172945.677,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250715172945.678,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250715172945.705,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250715172955.707,8.240,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250715172955.734,8.240,Screenshots,screen_1920x1080_2.jpg,NONE
250715172955.981,8.240,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250715172956.009,8.240,Screenshots,screen_1920x1080_3.jpg,NONE
250715172956.009,8.240,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250715172956.035,8.240,Screenshots,screen_1920x1080_4.jpg,NONE
250715173007.484,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250715173027.489,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250715173030.740,43.280,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250715173030.768,43.280,Screenshots,screen_1920x1080_7.jpg,NONE
250715173030.768,43.280,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250715173030.795,43.280,Screenshots,screen_1920x1080_8.jpg,NONE
250715173035.808,48.340,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250715173035.832,48.340,Screenshots,screen_1920x1080_9.jpg,NONE
250715173035.834,48.340,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250715173035.856,48.340,Screenshots,screen_1920x1080_10.jpg,NONE
