datetime,sessionTime,type,message,details
250715160032.448,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250715160032.487,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250715160032.488,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250715160032.509,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250715160042.512,7.420,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250715160042.539,7.420,Screenshots,screen_1920x1080_2.jpg,NONE
250715160042.810,7.420,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250715160042.851,7.420,Screenshots,screen_1920x1080_3.jpg,NONE
250715160042.851,7.420,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250715160042.872,7.420,Screenshots,screen_1920x1080_4.jpg,NONE
250715160055.144,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250715160115.147,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250715160117.543,42.420,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250715160117.571,42.420,Screenshots,screen_1920x1080_7.jpg,NONE
250715160117.571,42.420,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250715160117.597,42.420,Screenshots,screen_1920x1080_8.jpg,NONE
250715160122.608,47.480,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250715160122.633,47.480,Screenshots,screen_1920x1080_9.jpg,NONE
250715160122.633,47.480,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250715160122.655,47.480,Screenshots,screen_1920x1080_10.jpg,NONE
250715160135.148,60.000,Screenshots,screen_1920x1080_11.jpg,NONE
250715160155.145,80.000,Screenshots,screen_1920x1080_12.jpg,NONE
250715160157.600,82.480,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250715160157.631,82.480,Screenshots,screen_1920x1080_13.jpg,NONE
250715160157.631,82.480,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250715160157.660,82.480,Screenshots,screen_1920x1080_14.jpg,NONE
250715160202.688,87.540,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250715160202.752,87.540,Screenshots,screen_1920x1080_15.jpg,NONE
250715160202.752,87.540,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250715160202.780,87.540,Screenshots,screen_1920x1080_16.jpg,NONE
250715160215.178,100.020,Screenshots,screen_1920x1080_17.jpg,NONE
250715160235.182,120.040,Screenshots,screen_1920x1080_18.jpg,NONE
250715160237.664,122.540,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250715160237.698,122.540,Screenshots,screen_1920x1080_19.jpg,NONE
250715160237.698,122.540,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250715160237.727,122.540,Screenshots,screen_1920x1080_20.jpg,NONE
250715160242.796,127.620,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250715160242.827,127.620,Screenshots,screen_1920x1080_21.jpg,NONE
250715160242.827,127.620,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250715160242.852,127.620,Screenshots,screen_1920x1080_22.jpg,NONE
250715160255.186,140.040,Screenshots,screen_1920x1080_23.jpg,NONE
250715160315.187,160.040,Screenshots,screen_1920x1080_24.jpg,NONE
250715160317.732,162.620,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250715160317.767,162.620,Screenshots,screen_1920x1080_25.jpg,NONE
250715160317.767,162.620,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250715160317.797,162.620,Screenshots,screen_1920x1080_26.jpg,NONE
250715160317.798,162.620,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250715160317.825,162.620,Screenshots,screen_1920x1080_27.jpg,NONE
