datetime,sessionTime,type,message,details
250715174254.762,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250715174254.797,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250715174254.798,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250715174254.823,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250715174304.826,5.680,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250715174304.853,5.680,Screenshots,screen_1920x1080_2.jpg,NONE
250715174305.098,5.680,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250715174305.123,5.680,Screenshots,screen_1920x1080_3.jpg,NONE
250715174305.123,5.680,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250715174305.146,5.680,Screenshots,screen_1920x1080_4.jpg,NONE
250715174319.173,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250715174339.176,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250715174339.858,40.700,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250715174339.888,40.700,Screenshots,screen_1920x1080_7.jpg,NONE
250715174339.889,40.700,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250715174339.917,40.700,Screenshots,screen_1920x1080_8.jpg,NONE
250715174344.927,45.780,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250715174344.952,45.780,Screenshots,screen_1920x1080_9.jpg,NONE
250715174344.953,45.780,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250715174344.976,45.780,Screenshots,screen_1920x1080_10.jpg,NONE
250715174359.171,60.000,Screenshots,screen_1920x1080_11.jpg,NONE
250715174419.172,80.000,Screenshots,screen_1920x1080_12.jpg,NONE
250715174419.921,80.780,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250715174419.953,80.780,Screenshots,screen_1920x1080_13.jpg,NONE
250715174419.953,80.780,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250715174419.982,80.780,Screenshots,screen_1920x1080_14.jpg,NONE
250715174425.008,85.840,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250715174425.049,85.840,Screenshots,screen_1920x1080_15.jpg,NONE
250715174425.049,85.840,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250715174425.081,85.840,Screenshots,screen_1920x1080_16.jpg,NONE
250715174439.180,100.000,Screenshots,screen_1920x1080_17.jpg,NONE
250715174459.182,120.000,Screenshots,screen_1920x1080_18.jpg,NONE
250715174459.986,120.840,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250715174500.017,120.840,Screenshots,screen_1920x1080_19.jpg,NONE
250715174500.018,120.840,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250715174500.045,120.840,Screenshots,screen_1920x1080_20.jpg,NONE
250715174505.105,125.900,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250715174505.130,125.900,Screenshots,screen_1920x1080_21.jpg,NONE
250715174505.130,125.900,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250715174505.152,125.900,Screenshots,screen_1920x1080_22.jpg,NONE
250715174519.191,140.000,Screenshots,screen_1920x1080_23.jpg,NONE
250715174539.181,160.000,Screenshots,screen_1920x1080_24.jpg,NONE
250715174540.051,160.900,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250715174540.079,160.900,Screenshots,screen_1920x1080_25.jpg,NONE
250715174540.079,160.900,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250715174540.104,160.900,Screenshots,screen_1920x1080_26.jpg,NONE
250715174540.106,160.900,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250715174540.128,160.900,Screenshots,screen_1920x1080_27.jpg,NONE
