datetime,sessionTime,RMSSD
250717104607.890,0.880,35.229
250717104607.890,0.880,35.229
250717104607.894,1.860,36.720
250717104608.839,2.860,35.212
250717104608.843,2.860,27.073
250717104609.780,3.880,12.796
250717104609.784,3.880,9.635
250717104610.816,4.880,14.917
250717104611.806,4.880,16.518
250717104611.810,5.960,17.384
250717104612.798,5.960,24.373
250717104612.803,6.900,25.524
250717104613.786,6.900,23.931
250717104613.789,7.840,24.921
250717104614.821,7.840,23.690
250717104614.824,8.880,24.108
250717104615.813,9.880,20.330
250717104615.817,9.880,20.311
250717104616.801,10.440,21.221
250717104616.804,10.440,16.007
250717104617.797,11.440,21.479
250717104618.778,11.440,22.230
250717104618.784,12.460,23.322
250717104619.815,12.460,29.955
250717104619.818,13.460,31.576
250717104620.807,13.460,34.194
250717104620.810,14.440,36.006
250717104621.887,14.440,36.161
250717104622.788,15.440,35.775
250717104622.792,16.420,33.189
250717104623.868,16.420,31.709
250717104623.873,17.460,32.498
250717104624.811,17.460,24.949
250717104624.816,18.460,26.097
250717104625.801,18.460,23.947
250717104625.805,19.540,20.321
250717104626.794,20.440,19.718
250717104626.799,20.440,20.415
250717104627.783,21.520,14.382
250717104627.787,21.520,13.691
250717104628.822,22.460,15.289
250717104629.850,22.460,14.691
250717104629.852,23.440,12.519
250717104630.799,23.440,11.300
250717104630.804,24.440,11.546
250717104631.789,24.440,12.376
250717104631.794,25.420,11.655
250717104632.820,25.420,11.368
250717104632.825,26.460,11.822
250717104633.814,27.500,13.941
250717104633.818,27.500,14.663
250717104634.804,28.440,13.965
250717104634.810,28.440,14.543
250717104635.791,29.440,13.518
250717104635.796,29.440,12.988
250717104636.781,30.460,12.911
250717104636.784,30.460,13.575
250717104637.818,31.460,13.862
250717104637.821,31.460,14.598
250717104638.807,32.440,10.459
250717104638.812,32.440,10.947
250717104639.809,33.440,10.399
250717104639.814,33.440,10.943
250717104640.787,34.420,10.477
250717104640.791,34.420,10.870
250717104641.820,35.460,9.988
250717104641.826,35.460,7.717
250717104642.811,36.460,7.733
250717104642.816,36.460,6.270
250717104643.805,37.460,22.902
250717104643.811,37.460,24.062
250717104644.794,38.440,33.793
250717104645.780,38.440,36.646
250717104645.783,39.460,38.627
250717104646.818,39.460,44.149
250717104646.823,40.460,46.496
250717104647.806,40.460,44.330
250717104647.810,41.440,46.590
250717104648.843,41.440,43.888
250717104648.848,42.440,40.798
250717104649.789,43.420,31.730
250717104649.792,43.420,29.907
250717104650.822,44.460,26.502
250717104650.826,44.460,16.162
250717104651.811,45.440,11.122
250717104651.814,45.440,11.705
250717104652.800,46.480,10.228
250717104652.805,46.480,10.462
250717104653.793,47.440,8.525
250717104653.797,47.440,8.933
250717104654.780,48.460,7.745
250717104654.783,48.460,7.487
250717104655.819,49.460,7.001
250717104655.823,49.460,4.883
250717104656.807,50.440,3.805
250717104656.811,50.440,3.943
250
