datetime,sessionTime,HR
250717104602.805,0.880,122
250717104603.793,1.860,121
250717104604.782,2.860,120
250717104605.817,3.880,115
250717104606.804,4.880,113
250717104607.887,5.960,113
250717104608.835,6.900,113
250717104609.775,7.840,115
250717104610.812,8.880,115
250717104611.803,9.880,113
250717104612.792,10.440,109
250717104613.782,11.440,111
250717104614.818,12.460,113
250717104615.807,13.460,115
250717104616.797,14.440,116
250717104617.793,15.440,116
250717104618.775,16.420,111
250717104619.811,17.460,108
250717104620.803,18.460,110
250717104621.883,19.540,109
250717104622.783,20.440,106
250717104623.864,21.520,106
250717104624.806,22.460,106
250717104625.797,23.440,108
250717104626.791,24.440,111
250717104627.778,25.420,111
250717104628.817,26.460,110
250717104629.846,27.500,111
250717104630.794,28.440,112
250717104631.784,29.440,113
250717104632.816,30.460,112
250717104633.809,31.460,111
250717104634.798,32.440,112
250717104635.787,33.440,112
250717104636.776,34.420
