datetime,sessionTime,RRi
250717104602.804,0.880,694.336
250717104602.804,0.880,710.938
250717104603.793,1.860,718.750
250717104604.782,2.860,642.578
250717104604.782,2.860,569.336
250717104605.817,3.880,541.016
250717104605.817,3.880,540.039
250717104606.804,4.880,541.992
250717104606.804,4.880,539.063
250717104607.887,5.960,535.156
250717104607.887,5.960,526.367
250717104608.835,6.900,512.695
250717104608.835,6.900,500.977
250717104609.775,7.840,505.859
250717104609.775,7.840,525.391
250717104610.812,8.880,559.570
250717104611.802,9.880,580.078
250717104611.803,9.880,597.656
250717104612.792,10.440,550.781
250717104612.792,10.440,518.555
250717104613.782,11.440,520.508
250717104613.782,11.440,513.672
250717104614.817,12.460,506.836
250717104614.817,12.460,506.836
250717104615.807,13.460,500.000
250717104615.807,13.460,504.883
250717104616.797,14.440,512.695
250717104616.797,14.440,544.922
250717104617.793,15.440,598.633
250717104618.775,16.420,614.258
250717104618.775,16.420,590.820
250717104619.810,17.460,527.344
250717104619.810,17.460,517.578
250717104620.803,18.460,544.922
250717104620.803,18.460,589.844
250717104621.883,19.540,602.539
250717104622.783,20.440,590.820
250717104622.783,20.440,546.875
250717104623.863,21.520,566.406
250717104623.863,21.520,568.359
250717104624.806,22.460,569.336
250717104624.806,22.460,541.992
250717104625.795,23.440,525.391
250717104625.795,23.440,516.602
250717104626.790,24.440,521.484
250717104626.791,24.440,539.063
250717104627.778,25.420,553.711
250717104627.778,25.420,547.852
250717104628.817,26.460,527.344
250717104629.846,27.500,530.273
250717104629.846,27.500,523.438
250717104630.794,28.440,516.602
250717104630.794,28.440,526.367
250717104631.784,29.440,543.945
250717104631.784,29.440,537.109
250717104632.816,30.460,540.039
250717104632.816,30.460,556.641
250717104633.809,31.460,558.594
250717104633.809,31.460,525.391
250717104634.798,32.440,521.484
250717104634.798,32.440,528.320
250717104635.786,33.440,526.367
250717104635.787,33.440,530.273
250717104636.776,34.420,524.414
250717104636.776,34.420,511.719
250717104637.813,35.460,490.234
250717104637.813,35.460,499.023
250717104638.802,36.460,483.398
250717104638.802,36.460,477.539
250717104639.803,37.460,471.680
250717104639.803,37.460,467.773
250717104640.781,38.440,461.914
250717104640.781,38.440,462.891
250717104641.815,39.460,455.078
250717104641.816,39.460,449.219
250717104642.806,40.460,454.102
250717104642.807,40.460,464.844
250717104643.798,41.440,490.234
250717104643.798,41.440,555.664
250717104644.789,42.440,626.953
250717104645.774,43.420,671.875
250717104645.774,43.420,637.695
250717104646.813,44.460,569.336
250717104646.813,44.460,531.250
250717104647.801,45.440,529.297
250717104647.801,45.440,514.648
250717104648.837,46.480,506.836
250717104648.837,46.480,524.414
250717104649.782,47.440,527.344
250717104649.783,47.440,514.648
250717104650.817,48.460,524.414
250717104650.817,48.460,517.578
250717104651.806,49.460,500.977
250717104651.806,49.460,493.164
250717104652.796,50.440,491.211
250717104652.797,50.440,486.328
250717104653.788,51.440,479.492
250717104653.789,51.440,481.445
250717104654.776,52.420,475.586
250717104654.776,52.420,472.656
250717104655.813,53.460,467.773
250717104655.814,53.460,464.844
250717104656.801,54.460,466.797
250717104656.801,54.460,467.773
250717104656.801,54.460,466.797
250717104657.837,55.480,463.867
250717104657.837,55.480,471.680
250717104658.830,56.480,482.422
250717104658.830,56.480,506.836
