datetime,sessionTime,HR
250707150825.676,0.940,74
250707150826.668,1.940,74
250707150827.658,2.920,74
250707150828.738,4.000,74
250707150829.682,4.940,73
250707150830.670,5.940,73
250707150831.661,6.920,72
250707150832.653,7.920,72
250707150833.731,9.000,71
250707150834.676,9.940,71
250707150835.667,10.940,71
250707150836.656,11.920,71
250707150837.648,12.920,71
250707150838.682,13.940,71
250707150839.674,14.940,71
250707150840.661,15.920,70
250707150841.653,16.920,69
250707150842.687,17.960,69
250707150843.676,18.940,70
250707150844.667,19.940,71
250707150845.672,20.940,71
250707150846.647,21.920,72
250707150847.683,22.960,73
250707150848.671,23.940,74
250707150849.706,24.980,75
250707150850.652,25.920,75
250707150851.687,26.960,74
250707150852.676,27.940,74
250707150853.666,28.940,74
250707150854.658,29.920,75
250707150855.645,30.920,76
250707150856.684,31.960,78
250707150857.674,32.940,84
250707150858.663,33.920,85
250707150859.652,34.920,89
250707150900.685,35.960,92
250707150901.677,36.940,93
250707150902.668,37.940,96
250707150903.658,38.920,99
250707150904.645,39.920,101
250707150905.682,40.940,102
250707150906.671,41.940,103
250707150907.661,42.920,104
250707150908.652,43.920,103
250707150909.686,44.960,103
250707150910.723,46.000,104
250707150911.710,46.980,104
250707150912.702,47.960,103
250707150913.646,48.920,102
250707150914.681,49.940,99
250707150915.717,50.980,98
250707150916.662,51.920,96
250707150917.651,52.920,90
250707150918.685,53.960,86
250707150919.677,54.940,84
250707150920.665,55.940,83
250707150921.666,56.940,81
250707150922.645,57.920,80
250707150923.682,58.940,81
250707150924.674,59.940,81
250707150925.662,60.920,80
