datetime,sessionTime,RRi
250707150825.675,0.940,815.430
250707150826.668,1.940,800.781
250707150827.658,2.920,828.125
250707150828.738,4.000,858.398
250707150828.738,4.000,900.391
250707150829.682,4.940,871.094
250707150830.670,5.940,885.742
250707150831.661,6.920,888.672
250707150832.653,7.920,858.398
250707150833.731,9.000,850.586
250707150834.676,9.940,855.469
250707150834.676,9.940,842.773
250707150835.666,10.940,813.477
250707150836.656,11.920,833.008
250707150837.648,12.920,883.789
250707150838.682,13.940,906.250
250707150839.674,14.940,890.625
250707150840.661,15.920,928.711
250707150841.653,16.920,951.172
250707150841.653,16.920,852.539
250707150842.686,17.960,793.945
250707150843.676,18.940,786.133
250707150844.667,19.940,785.156
250707150844.667,19.940,804.688
250707150845.672,20.940,761.719
250707150846.647,21.920,715.820
250707150847.683,22.960,748.047
250707150848.671,23.940,752.930
250707150848.671,23.940,792.969
250707150849.706,24.980,835.938
250707150850.651,25.920,847.656
250707150851.687,26.960,844.727
250707150852.676,27.940,829.102
250707150852.676,27.940,796.875
250707150853.666,28.940,768.555
250707150854.658,29.920,716.797
250707150854.658,29.920,695.313
250707150855.645,30.920,674.805
250707150856.682,31.960,650.391
250707150856.682,31.960,630.859
250707150857.674,32.940,626.953
250707150857.674,32.940,620.117
250707150858.663,33.920,603.516
250707150859.651,34.920,599.609
250707150859.652,34.920,598.633
250707150900.685,35.960,589.844
250707150900.685,35.960,591.797
250707150901.677,36.940,590.820
250707150902.666,37.940,578.125
250707150902.668,37.940,583.008
250707150903.657,38.920,574.219
250707150903.658,38.920,567.383
250707150904.645,39.920,566.406
250707150904.645,39.920,565.430
250707150905.681,40.940,565.430
250707150906.671,41.940,571.289
250707150906.671,41.940,576.172
250707150907.661,42.920,581.055
250707150907.661,42.920,600.586
250707150908.651,43.920,575.195
250707150908.651,43.920,578.125
250707150909.686,44.960,575.195
250707150910.723,46.000,574.219
250707150910.723,46.000,572.266
250707150911.710,46.980,587.891
250707150911.710,46.980,619.141
250707150912.702,47.960,621.094
250707150913.646,48.920,631.836
250707150914.681,49.940,630.859
250707150914.681,49.940,671.875
250707150915.717,50.980,711.914
250707150916.662,51.920,772.461
250707150917.651,52.920,784.180
250707150918.685,53.960,839.844
250707150918.685,53.960,854.492
250707150919.677,54.940,839.844
250707150920.665,55.940,836.914
250707150921.665,56.940,787.109
250707150921.665,56.940,742.188
250707150922.645,57.920,731.445
250707150923.682,58.940,744.141
250707150924.673,59.940,757.813
250707150924.673,59.940,769.531
250707150925.662,60.920,769.531
