datetime,sessionTime,RMSSD
250707150833.736,0.940,25.168
250707150833.736,1.940,25.168
250707150834.680,2.920,23.815
250707150834.683,4.000,23.390
250707150835.669,4.000,23.251
250707150836.659,4.940,19.675
250707150837.650,5.940,24.047
250707150838.685,6.920,24.707
250707150839.676,7.920,25.232
250707150840.664,9.000,26.381
250707150841.656,9.940,40.541
250707150841.659,9.940,42.703
250707150842.690,10.940,46.766
250707150843.679,11.920,45.809
250707150844.671,12.920,43.460
250707150844.673,13.940,42.569
250707150845.674,14.940,44.285
250707150846.649,15.920,46.563
250707150847.686,16.920,46.069
250707150848.675,16.920,44.971
250707150848.678,17.960,34.149
250707150849.709,18.940,31.461
250707150850.654,19.940,31.596
250707150851.690,19.940,31.609
250707150852.679,20.940,31.454
250707150852.681,21.920,29.902
250707150853.669,22.960,27.371
250707150854.660,23.940,29.739
250707150854.664,23.940,31.306
250707150855.649,24.980,29.132
250707150856.687,25.920,26.018
250707150856.692,26.960,27.145
250707150857.678,27.940,25.856
250707150857.682,27.940,26.752
250707150858.666,28.940,25.118
250707150859.655,29.920,22.119
250707150859.658,29.920,15.683
250707150900.688,30.920,13.539
250707150900.691,31.960,12.527
250707150901.680,31.960,9.529
250707150902.670,32.940,7.879
250707150902.674,32.940,8.203
250707150903.661,33.920,8.263
250707150903.664,34.920,6.727
250707150904.649,34.920,6.276
250707150904.652,35.960,6.607
250707150905.685,35.960,5.922
250707150906.674,36.940,6.083
250707150906.677,37.940,6.404
250707150907.664,37.940,7.831
250707150907.667,38.920,8.092
250707150908.654,38.920,10.795
250707150908.658,39.920,11.149
250707150909.691,39.920,11.187
250707150910.727,40.940,10.631
250707150910.730,41.940,11.206
250707150911.713,41.940,15.220
250707150911.716,42.920,15.960
250707150912.705,42.920,15.891
250707150913.649,43.920,14.931
250707150914.684,43.920,17.450
250707150914.687,44.960,18.368
250707150915.720,46.000,22.684
250707150916.666,46.000,30.3
