datetime,sessionTime,SDNN
250708201104.772,9.720,21.527
250708201114.769,19.740,50.751
250708201124.767,29.760,39.998
250708201134.763,39.820,25.790
250708201144.760,49.820,30.010
250708201154.759,59.860,39.507
