datetime,sessionTime,RRi
250708201055.474,0.700,829,883
250708201056.475,1.700,830,441
250708201057.477,2.700,827,716
250708201058.479,3.700,825,589
250708201059.480,4.700,804,299
250708201100.484,5.700,789,872
250708201101.484,6.720,790,515
250708201102.487,7.720,791,658
250708201103.488,8.720,786,787
250708201104.488,9.720,773,137
250708201105.490,10.720,767,275
250708201106.493,11.720,768,303
250708201107.494,12.720,779,372
250708201108.497,13.720,806,012
250708201109.499,14.720,825,726
250708201110.498,15.720,819,244
250708201111.500,16.720,850,554
250708201112.502,17.720,872,720
250708201113.506,18.740,909,385
250708201114.506,19.740,888,351
250708201115.510,20.740,875,154
250708201116.512,21.740,874,989
250708201117.512,22.740,870,045
250708201118.522,23.740,901,574
250708201119.525,24.760,940,558
250708201120.529,25.760,958,092
250708201121.532,26.760,949,847
250708201122.536,27.760,955,356
250708201123.540,28.760,974,935
250708201124.543,29.760,953,745
250708201125.545,30.780,927,415
250708201126.548,31.780,955,914
250708201127.548,32.780,984,806
250708201128.550,33.780,995,909
250708201129.551,34.780,969,417
250708201130.554,35.780,974,786
250708201131.557,36.780,985,791
250708201132.557,37.780,980,174
250708201133.581,38.800,943,638
250708201134.584,39.820,914,781
250708201135.586,40.820,947,762
250708201136.589,41.820,941,466
250708201137.592,42.820,930,798
250708201138.595,43.820,937,913
250708201139.595,44.820,897,526
250708201140.596,45.820,881,352
250708201141.600,46.820,888,116
250708201142.600,47.820,858,425
250708201143.601,48.820,879,305
250708201144.601,49.820,888,149
250708201145.602,50.820,873,177
250708201146.605,51.840,891,254
250708201147.608,52.840,876,958
250708201148.630,53.860,890,472
250708201149.632,54.860,914,916
250708201150.634,55.860,960,461
250708201151.636,56.860,969,949
250708201152.635,57.860,948,133
250708201153.636,58.860,962,820
250708201154.638,59.860,965,965
250708201155.640,60.860,914,434
250708201156.643,61.860,913,137
250708201157.644,62.880,922,781
