datetime,sessionTime,RRi
250715102139.213,0.000,766,671
250715102205.371,1.000,760,294
250715102206.377,2.000,755,525
250715102207.384,3.000,754,666
250715102208.384,4.000,766,354
250715102209.393,5.020,785,831
250715102210.403,6.020,797,834
250715102211.412,7.040,787,639
