datetime,sessionTime,SDNN
250717182716.632,9.120,24.885
250717182726.821,19.900,48.158
250717182736.819,29.900,28.549
250717182746.818,39.940,63.326
250717182756.815,49.920,24.169
250717182806.811,59.920,21.287
250717182816.808,69.940,62.099
250717182826.804,79.900,32.917
250717182836.800,89.920,61.223
250717182846.799,99.920,72.606
250717182856.797,109.900,19.319
250717182906.794,119.900,31.044
250717182916.791,128.900,17.858
250717182926.790,139.920,34.745
