datetime,sessionTime,RMSSD
250717182713.735,0.120,28.616
250717182713.735,1.100,28.616
250717182714.775,2.100,26.853
250717182714.779,2.100,26.906
250717182715.762,3.100,28.911
250717182717.274,4.120,27.135
250717182717.281,5.120,26.375
250717182717.741,5.120,26.533
250717182718.731,6.100,27.214
250717182719.771,7.100,27.431
250717182720.757,8.140,36.640
250717182720.760,8.140,36.243
250717182721.747,9.120,35.764
250717182722.780,10.100,35.764
250717182723.774,10.100,33.737
250717182723.778,10.900,34.286
250717182724.759,11.900,35.800
250717182725.751,12.940,36.914
250717182725.755,13.920,38.560
250717182726.744,13.920,33.647
250717182727.730,14.920,26.429
250717182728.766,15.940,26.023
250717182728.772,16.940,25.099
250717182729.756,16.940,25.807
250717182730.746,17.920,27.142
250717182730.750,18.920,23.301
250717182731.736,18.920,22.076
250717182732.820,19.900,18.754
250717182732.824,20.900,19.726
250717182733.762,21.920,20.762
250717182734.755,21.920,20.424
250717182734.758,22.920,20.805
250717182735.743,23.900,22.949
250717182736.733,23.900,31.738
250717182737.814,24.900,35.376
250717182738.759,25.980,35.443
250717182739.750,25.980,36.883
250717182739.754,26.920,37.364
250717182740.737,27.920,39.482
250717182741.817,27.920,37.478
250717182741.823,28.900,39.342
250717182742.763,29.900,38.625
250717182743.751,30.980,30.325
250717182743.757,31.920,25.305
250717182744.743,32.920,25.236
250717182745.734,32.920,24.649
250717182745.738,33.900,21.001
250717182746.769,34.980,15.482
250717182747.756,34.980,14.333
250717182747.763,35.920,14.058
250717182748.748,36.920,10.737
250717182749.740,36.920,12.748
250717182749.746,37.900,13.295
250717182750.774,38.900,15.202
250717182751.765,38.900,19.195
250717182752.751,39.940,19.152
250717182752.754,40.920,20.093
250717182753.740,40.920,21.031
250717182754.734,41.920,20.505
250717182754.738,42.900,21.457
250717182755.766,42.900,22.898
250717182756.759,43.940,22.863
250717182757.747,44.920,20.810
250717182757.750,45.920,17.889
250717182758.735,45.920,20.536
250717182759.771,46.900,18.004
250717182759.774,47.900,17.827
250717182800.763,47.900,20.474
250717182801.751,48.920,19.211
250717182801.754,49.920,16.033
250717182802.740,50.920,15.901
250717182803.731,50.920,18.446
250717182804.771,51.900,19.007
250717182804.775,52.940,17.308
250717182805.757,52.940,17.491
250717182806.747,53.920,16.604
250717182806.752,54.920,14.301
250717182807.741,54.920,20.156
250717182808.771,55.900,20.156
250717182809.762,56.900,24.228
250717182809.766,57.940,23.730
250717182810.753,57.940,23.532
250717182811.785,58.920,28.202
250717182812.777,59.920,33.392
250717182812.780,59.920,34.981
250717182813.766,60.900,38.856
250717182814.755,61.940,37.492
250717182814.758,62.920,39.454
250717182815.747,62.920,37.311
250717182815.751,63.920,39.165
250717182816.783,64.940,39.360
250717182817.727,65.940,33.974
250717182817.730,65.940,32.063
250717182818.763,66.940,27.816
250717182818.767,67.920,23.941
250717182819.749,67.920,22.093
250717182819.754,68.920,17.835
250717182820.741,68.920,10.381
250717182820.743,69.940,10.943
250717182821.777,70.900,10.635
250717182821.782,70.900,9.927
