datetime,sessionTime,HR
250717182706.761,0.120,75
250717182707.747,1.100,76
250717182708.737,2.100,77
250717182709.735,3.100,78
250717182710.762,4.120,79
250717182711.751,5.120,79
250717182712.743,6.100,79
250717182713.731,7.100,79
250717182714.771,8.140,79
250717182715.758,9.120,80
250717182716.746,10.100,80
250717182717.738,10.900,80
250717182718.727,11.900,80
250717182719.764,12.940,81
250717182720.753,13.920,82
250717182721.743,14.920,81
250717182722.776,15.940,80
250717182723.770,16.940,79
250717182724.756,17.920,79
250717182725.747,18.920,79
250717182726.739,19.900,79
250717182727.726,20.900,80
250717182728.761,21.920,82
250717182729.751,22.920,82
250717182730.741,23.900,83
250717182731.731,24.900,83
250717182732.815,25.980,84
250717182733.757,26.920,85
250717182734.750,27.920,86
250717182735.737,28.900,86
250717182736.728,29.900,87
250717182737.807,30.980,86
250717182738.753,31.920,84
250717182739.744,32.920,82
250717182740.732,33.900,81
250717182741.811,34.980,81
250717182742.758,35.920,81
250717182743.747,36.920,82
250717182744.738,37.900,83
250717182745.729,38.900,84
250717182746.765,39.940,85
250717182747.753,40.920,86
250717182748.741,41.920,86
250717182749.734,42.900,87
250717182750.769,43.940,87
250717182751.760,44.920,88
250717182752.747,45.920,87
250717182753.737,46.900,86
250717182754.729,47.900,86
250717182755.761,48.920,86
250717182756.754,49.920,85
250717182757.744,50.920,85
250717182758.730,51.900,85
250717182759.766,52.940,86
250717182800.758,53.920,87
250717182801.747,54.920,87
250717182802.736,55.900,87
250717182803.728,56.900,87
250717182804.766,57.940,86
250717182805.752,58.920,86
250717182806.743,59.920,85
250717182807.736,60.900,85
250717182808.767,61.940,85
250717182809.759,62.920,85
250717182810.748,63.920,85
250717182811.780,64.940,85
250717182812.773,65.940,83
250717182813.762,66.940,82
250717182814.750,67.920,82
250717182815.742,68.920,84
250717182816.779,69.940,86
250717182817.723,70.900,90
250717182818.759,71.920,94
250717182819.746,72.920,98
250717182820.736,73.900,102
250717182821.773,74.940,106
250717182822.763,75.940,107
250717182823.796,76.960,107
250717182824.743,77.920,106
250717182825.734,78.900,104
250717182826.724,79.900,101
250717182827.757,80.920,100
250717182828.748,81.920,98
250717182829.735,82.900,98
250717182830.726,83.900,98
250717182831.764,84.940,98
250717182832.753,85.920,94
250717182833.741,86.900,93
250717182834.732,87.900,92
250717182835.723,88.900,91
250717182836.759,89.920,90
250717182837.748,90.920,88
250717182838.737,91.900,85
250717182839.726,92.900,84
250717182840.763,93.940,83
250717182841.753,94.920,82
250717182842.742,95.920,83
250717182843.732,96.900,82
250717182844.723,97.900,82
250717182845.757,98.920,84
250717182846.748,99.920,88
250717182847.738,100.900,89
250717182848.727,101.900,93
250717182849.763,102.940,96
250717182850.753,103.920,98
250717182851.742,104.920,100
250717182852.731,105.900,101
250717182853.722,106.900,101
250717182854.759,107.920,101
250717182855.747,108.920,100
250717182856.738,109.900,99
250717182857.729,110.900,98
250717182858.764,111.940,97
250717182859.750,112.920,95
250717182900.744,113.920,93
250717182901.776,114.940,92
250717182902.768,115.940,90
250717182903.757,116.920,89
250717182904.748,117.920,88
250717182905.738,118.900,88
250717182906.728,119.900,89
250717182907.765,120.940,90
250717182908.752,121.920,90
250717182909.741,122.900,90
250717182910.734,123.900,90
250717182911.721,124.880,90
250717182912.755,125.920,90
250717182913.748,126.920,90
250717182914.736,127.900,91
250717182915.728,128.900,91
250717182916.806,129.980,90
250717182917.754,130.920,90
250717182918.745,131.920,90
250717182919.732,132.900,88
250717182920.721,133.880,87
250717182921.759,134.920,86
250717182922.749,135.920,84
250717182923.737,136.900,83
250717182924.728,137.900,83
250717182925.765,138.940,82
250717182926.758,139.920,82
250717182927.744,140.920,82
250717182928.730,141.900,82
250717182929.723,142.900,82
250717182930.756,143.920,83
250717182931.748,144.920,83
250717182932.736,145.900,85
250717183025.573,146.700,85
250717183025.573,146.700,86
250717183025.573,146.700,86
250717183025.573,146.700,85
250717183025.574,146.700,86
250717183025.574,146.700,85
250717183025.574,146.700,85
250717183025.574,146.700,85
250717183025.574,146.700,84
250717183025.574,146.700,83
250717183025.574,146.700,83
250717183025.574,146.700,82
250717183025.574,146.700,82
250717183025.574,146.700,82
250717183025.574,146.700,81
250717183025.575,146.700,82
250717183025.575,146.700,82
250717183025.575,146.700,82
250717183025.575,146.700,83
250717183025.575,146.700,83
250717183025.575,146.700,82
250717183025.575,146.700,82
250717183025.575,146.700,82
250717183025.576,146.700,82
250717183025.576,146.700,81
250717183025.579,146.700,81
250717183025.579,146.700,81
250717183025.580,146.700,81
250717183025.580,146.700,81
250717183025.580,146.700,81
250717183025.580,146.700,80
250717183025.580,146.700,80
250717183025.580,146.700,80
250717183025.581,146.700,80
250717183025.581,146.700,80
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.581,146.700,81
250717183025.583,146.700,81
250717183025.583,146.700,81
250717183025.583,146.700,81
250717183025.583,146.700,82
250717183025.583,146.700,82
250717183025.583,146.700,82
250717183025.583,146.700,82
250717183025.584,146.700,81
250717183025.584,146.700,81
250717183025.584,146.700,81
