datetime,sessionTime,RRi
250707152217.652,0.000,844.727
250707152218.666,1.100,873.047
250707152219.657,2.080,822.266
250707152220.649,3.080,870.117
250707152220.649,3.080,895.508
250707152221.638,4.060,863.281
250707152222.670,5.100,848.633
250707152223.660,6.100,884.766
250707152224.652,7.080,897.461
250707152225.688,8.120,835.938
250707152226.679,9.100,849.609
250707152226.679,9.100,875.000
250707152227.738,10.160,885.742
250707152228.657,11.080,815.430
250707152229.646,12.080,849.609
250707152230.638,13.060,873.047
250707152231.672,14.100,868.164
250707152231.672,14.100,793.945
250707152232.663,15.100,821.289
250707152233.652,16.080,753.906
250707152233.652,16.080,719.727
250707152234.643,17.080,684.570
250707152235.631,18.060,656.250
250707152235.631,18.060,629.883
250707152236.667,19.100,608.398
250707152236.667,19.100,593.750
250707152237.655,20.080,588.867
250707152238.649,21.080,581.055
250707152238.649,21.080,572.266
250707152239.725,22.160,568.359
250707152239.727,22.160,566.406
250707152240.727,23.160,558.594
250707152240.727,23.160,562.500
250707152241.662,24.100,566.406
250707152242.652,25.080,575.195
250707152242.652,25.080,570.313
250707152243.686,26.120,564.453
250707152243.687,26.120,573.242
250707152244.633,27.060,580.078
250707152245.667,28.100,592.773
250707152245.667,28.100,594.727
250707152246.657,29.080,600.586
250707152246.657,29.080,614.258
250707152247.647,30.080,626.953
250707152248.637,31.060,644.531
250707152248.637,31.060,665.039
250707152249.672,32.100,651.367
250707152250.662,33.100,612.305
250707152250.662,33.100,616.211
250707152251.650,34.080,600.586
250707152251.650,34.080,586.914
250707152252.685,35.120,583.008
250707152252.685,35.120,573.242
250707152253.632,36.060,580.078
250707152254.665,37.100,579.102
250707152254.665,37.100,575.195
250707152255.655,38.080,596.680
250707152256.647,39.080,624.023
250707152256.647,39.080,630.859
250707152257.635,40.060,639.648
250707152258.672,41.100,674.805
250707152258.672,41.100,691.406
250707152259.663,42.100,678.711
250707152300.650,43.080,666.992
250707152300.650,43.080,648.438
250707152301.645,44.080,653.320
250707152302.633,45.060,662.109
250707152302.633,45.060,676.758
250707152303.667,46.100,687.500
250707152304.658,47.080,665.039
250707152304.658,47.080,649.414
250707152305.690,48.120,650.391
250707152306.635,49.060,657.227
250707152306.635,49.060,681.641
250707152307.672,50.100,695.313
250707152308.663,51.100,671.875
250707152308.663,51.100,676.758
250707152309.699,52.120,712.891
250707152310.646,53.080,757.813
250707152311.631,54.060,788.086
250707152311.631,54.060,737.305
250707152312.674,55.100,757.813
250707152313.701,56.140,799.805
250707152314.648,57.080,835.938
250707152315.682,58.120,828.125
250707152315.682,58.120,769.531
250707152316.671,59.100,760.742
250707152317.665,60.100,764.648
250707152318.652,61.080,760.742
250707152318.653,61.080,712.891
250707152319.687,62.120,719.727
250707152320.630,63.060,717.773
250707152321.712,64.140,749.023
250707152322.655,65.080,789.063
250707152322.655,65.080,795.898
