datetime,sessionTime,SDNN
250707152227.562,9.100,23.594
250707152237.556,19.100,105.267
250707152247.553,29.080,15.273
250707152257.548,39.080,28.338
250707152307.547,49.060,17.530
250707152317.542,59.100,54.532
