datetime,sessionTime,RMSSD
250707152225.692,0.000,37.742
250707152225.692,1.100,37.742
250707152226.683,2.080,35.847
250707152226.686,3.080,33.782
250707152227.742,3.080,29.994
250707152228.660,4.060,37.112
250707152229.649,5.100,37.306
250707152230.640,6.100,37.801
250707152231.674,7.080,41.336
250707152231.677,8.120,43.366
250707152232.665,9.100,39.283
250707152233.655,9.100,44.057
250707152233.657,10.160,45.662
250707152234.646,11.080,47.006
250707152235.633,12.080,40.546
250707152235.636,13.060,41.192
250707152236.670,14.100,39.240
250707152236.672,14.100,41.331
250707152237.659,15.100,33.149
250707152238.652,16.080,30.463
250707152238.655,16.080,22.949
250707152239.729,17.080,18.949
250707152239.732,18.060,16.175
250707152240.730,18.060,12.763
250707152240.733,19.100,10.185
250707152241.665,19.100,7.358
250707152242.656,20.080,6.114
250707152242.659,21.080,6.236
250707152243.689,21.080,6.329
250707152243.692,22.160,5.993
250707152244.637,22.160,6.278
250707152245.671,23.160,7.183
250707152245.674,23.160,7.109
250707152246.660,24.100,8.130
250707152246.662,25.080,8.470
250707152247.651,25.080,9.003
250707152248.640,26.120,11.980
250707152248.643,26.120,12.476
250707152249.674,27.060,12.956
250707152250.665,28.100,17.335
250707152250.667,28.100,17.776
250707152251.653,29.080,18.086
250707152251.656,29.080,18.964
250707152252.688,30.080,17.778
250707152252.690,31.060,18.255
250707152253.636,31.060,17.439
250707152254.670,32.100,15.273
250707152254.673,33.100,15.441
250707152255.659,33.100,10.962
250707152256.652,34.080,13.640
250707152256.656,34.080,13.402
250707152257.638,35.120,12.939
250707152258.676,35.120,17.330
250707152258.678,36.060,17.975
250707152259.667,37.100,18.325
250707152300.653,37.100,18.716
250707152300.655,38.080,19.685
250707152301.647,39.080,18.408
250707152302.636,39.080,16.106
250707152302.639,40.060,16.823
250707152303.670,41.100,16.949
250707152304.662,41.100,14.485
250707152304.665,42.100,14.230
250707152305.694,43.080,13.590
250707152306.640,43.080,14.723
250707152306.642,44.080,14.234
250707152307.675,45.060,14.857
250707152308.666,45.060,15.756
250707152308.669,46.100,15.874
250707152309.701,47.080,19.602
250707152310.649,47.080,23.503
250707152311.633,48.120,28.675
250707152311.636,49.060,30.224
250707152312.684,49.060,30.904
250707152313.705,50.100,32.936
250707152314.651,51.100,34.771
250707152315.686,51.100,37.184
250707152315.688,52.120,39.161
250707152316.674,53.080,37.378
250707152317.669,54.060,34.273
250707152318.656,54.060,34.583
250707152318.658,55.100,32.286
250707152319.690,56.140,31.636
250707152320.634,57.080,28.378
250707152321.714,58.120,27.727
250707152322.659,58.120,29.168
250707152322.661,59.100,23.745
250707152322.949,60.100,23.745
250707152322.949,61.080,23.745
250707152322.949,61.080,23.745
250707152322.949,62.120,23.745
250707152322.949,63.060,23.745
250707152322.949,64.140,23.745
250707152322.949,65.080,23.745
250707152322.949,65.080,23.745
