datetime,sessionTime,type,message,details
250707152217.580,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250707152217.624,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250707152217.625,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250707152217.651,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250707152227.653,10.080,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250707152227.684,10.080,Screenshots,screen_1920x1080_2.jpg,NONE
250707152227.686,10.080,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250707152227.710,10.080,Screenshots,screen_1920x1080_3.jpg,NONE
250707152227.710,10.080,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250707152227.733,10.080,Screenshots,screen_1920x1080_4.jpg,NONE
250707152237.593,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250707152237.688,20.120,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250707152237.715,20.120,Screenshots,screen_1920x1080_6.jpg,NONE
250707152237.716,20.120,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250707152237.738,20.120,Screenshots,screen_1920x1080_7.jpg,NONE
250707152242.740,25.180,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250707152242.767,25.180,Screenshots,screen_1920x1080_8.jpg,NONE
250707152242.767,25.180,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250707152242.789,25.180,Screenshots,screen_1920x1080_9.jpg,NONE
250707152252.742,35.180,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250707152252.767,35.180,Screenshots,screen_1920x1080_10.jpg,NONE
250707152252.768,35.180,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250707152252.792,35.180,Screenshots,screen_1920x1080_11.jpg,NONE
250707152257.597,40.000,Screenshots,screen_1920x1080_12.jpg,NONE
250707152257.794,40.220,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250707152257.825,40.220,Screenshots,screen_1920x1080_13.jpg,NONE
250707152257.826,40.220,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250707152257.849,40.220,Screenshots,screen_1920x1080_14.jpg,NONE
250707152307.797,50.220,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250707152307.828,50.220,Screenshots,screen_1920x1080_15.jpg,NONE
250707152307.828,50.220,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250707152307.855,50.220,Screenshots,screen_1920x1080_16.jpg,NONE
250707152312.862,55.300,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250707152312.889,55.300,Screenshots,screen_1920x1080_17.jpg,NONE
250707152312.890,55.300,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250707152312.914,55.300,Screenshots,screen_1920x1080_18.jpg,NONE
250707152317.595,60.000,Screenshots,screen_1920x1080_19.jpg,NONE
250707152322.863,65.300,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250707152322.895,65.300,Screenshots,screen_1920x1080_20.jpg,NONE
250707152322.896,65.300,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250707152322.921,65.300,Screenshots,screen_1920x1080_21.jpg,NONE
250707152322.923,65.300,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250707152322.948,65.300,Screenshots,screen_1920x1080_22.jpg,NONE
