datetime,sessionTime,type,message,details
250716101036.736,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250716101036.775,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250716101036.776,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250716101036.796,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250716101046.799,8.420,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250716101046.821,8.420,Screenshots,screen_1920x1080_2.jpg,NONE
250716101047.049,8.420,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250716101047.084,8.420,Screenshots,screen_1920x1080_3.jpg,NONE
250716101047.084,8.420,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250716101047.105,8.420,Screenshots,screen_1920x1080_4.jpg,NONE
