datetime,sessionTime,type,message,details
250714193738.355,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250714193738.388,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250714193738.389,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250714193738.411,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250714193748.417,8.380,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250714193748.447,8.380,Screenshots,screen_1920x1080_2.jpg,NONE
250714193748.449,8.380,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250714193748.478,8.380,Screenshots,screen_1920x1080_3.jpg,NONE
250714193748.478,8.380,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250714193748.502,8.380,Screenshots,screen_1920x1080_4.jpg,NONE
250714193758.451,18.420,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250714193758.479,18.420,Screenshots,screen_1920x1080_5.jpg,NONE
250714193758.479,18.420,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250714193758.502,18.420,Screenshots,screen_1920x
