datetime,sessionTime,type,message,details
250714195302.537,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250714195302.570,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250714195302.570,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250714195302.592,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250714195312.597,6.980,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250714195312.624,6.980,Screenshots,screen_1920x1080_2.jpg,NONE
250714195312.626,6.980,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250714195312.651,6.980,Screenshots,screen_1920x1080_3.jpg,NONE
250714195312.651,6.980,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250714195312.673,6.980,Screenshots,screen_1920x1080_4.jpg,NONE
250714195322.627,17.020,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250714195322.654,17.020,Screenshots,screen_1920x1080_5.jpg,NONE
250714195322.654,17.020,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250714195322.676,17.020,Screenshots,screen_1920x1080_6.jpg,NONE
250714195325.635,20.000,Screenshots,screen_1920x1080_7.jpg,NONE
250714195327.678,22.060,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250714195327.707,22.060,Screenshots,screen_1920x1080_8.jpg,NONE
250714195327.707,22.060,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250714195327.730,22.060,Screenshots,screen_1920x1080_9.jpg,NONE
250714195337.682,32.060,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250714195337.709,32.060,Screenshots,screen_1920x1080_10.jpg,NONE
250714195337.709,32.060,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250714195337.732,32.060,Screenshots,screen_1920x1080_11.jpg,NONE
