datetime,sessionTime,type,message,details
250714190929.811,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250714190929.851,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250714190929.852,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250714190929.873,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250714190939.880,6.580,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250714190939.915,6.580,Screenshots,screen_1920x1080_2.jpg,NONE
250714190939.916,6.580,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250714190939.941,6.580,Screenshots,screen_1920x1080_3.jpg,NONE
250714190939.941,6.580,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250714190939.963,6.580,Screenshots,screen_1920x1080_4.jpg,NONE
250714190949.919,16.620,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250714190949.945,16.620,Screenshots,screen_1920x1080_5.jpg,NONE
250714190949.945,16.620,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250714190949.968,16.620,Screenshots,screen_1920x1080_6.jpg,NONE
250714190953.336,20.000,Screenshots,screen_1920x1080_7.jpg,NONE
250714190954.971,21.680,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250714190955.000,21.680,Screenshots,screen_1920x1080_8.jpg,NONE
250714190955.001,21.680,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250714190955.024,21.680,Screenshots,screen_1920x1080_9.jpg,NONE
250714191004.977,31.680,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250714191005.016,31.680,Screenshots,screen_1920x1080_10.jpg,NONE
250714191005.016,31.680,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250714191005.039,31.680,Screenshots,screen_1920x1080_11.jpg,NONE
250714191010.045,36.760,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250714191010.073,36.760,Screenshots,screen_1920x1080_12.jpg,NONE
250714191010.073,36.760,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250714191010.097,36.760,Screenshots,screen_1920x1080_13.jpg,NONE
250714191013.327,40.000,Screenshots,screen_1920x1080_14.jpg,
