datetime,sessionTime,RMSSD
250708152038.364,0.000,9.568
250708152038.364,1.000,9.568
250708152039.367,2.000,10.294
250708152040.368,3.000,9.679
250708152041.370,4.000,9.609
250708152042.374,5.020,8.925
250708152043.378,6.020,9.333
250708152044.380,7.020,9.218
250708152045.384,8.020,8.423
250708152046.386,9.020,8.494
250708152047.386,10.020,8.857
250708152048.389,11.020,8.691
250708152049.390,12.020,9.231
250708152050.392,13.020,8.977
250708152051.394,14.040,10.679
250708152052.396,15.040,10.324
250708152053.400,16.040,11.459
250708152054.402,17.040,11.919
250708152055.405,18.040,12.719
250708152056.405,19.040,12.468
250708152057.407,20.040,12.467
250708152058.408,21.040,12.130
250708152059.410,22.040,12.437
250708152100.413,23.060,10.773
250708152101.414,24.060,11.305
250708152102.416,25.060,10.276
250708152103.416,26.060,9.555
250708152104.418,27.060,8.504
250708152105.420,28.060,8.437
250708152106.423,29.060,7.743
250708152107.424,30.060,8.285
250708152108.427,31.060,9.884
250708152109.428,32.060,10.340
250708152110.431,33.080,10.557
250708152111.433,34.080,10.368
250708152112.435,35.080,10.375
250708152113.436,36.080,12.241
250708152114.439,37.080,12.584
250708152115.441,38.080,13.079
250708152116.443,39.080,12.715
250708152117.445,40.080,11.200
250708152118.449,41.080,10.746
250708152119.452,42.080,10.237
250708152120.454,43.100,9.669
250708152121.455,44.100,11.450
250708152122.458,45.100,8.896
250708152123.459,46.100,8.739
250708152124.462,47.100,7.910
250708152125.465,48.100,8.406
250708152126.270,49.100,8.406
250708152126.271,50.100,8.406
250708152126.271,51.100,8.406
250708152126.271,52.100,8.406
250708152126.271,53.120,8.406
250708152126.272,54.120,8.406
250708152126.272,55.120,8.406
250708152126.272,56.120,8.406
