datetime,sessionTime,RRi
250708152021.031,0.000,771,400
250708152030.347,1.000,762,288
250708152031.351,2.000,751,525
250708152032.353,3.000,758,878
250708152033.355,4.000,771,954
250708152034.357,5.020,771,268
250708152035.360,6.020,759,303
250708152036.361,7.020,772,419
250708152037.363,8.020,780,998
250708152038.363,9.020,777,720
250708152039.367,10.020,792,306
250708152040.368,11.020,789,987
250708152041.370,12.020,796,463
250708152042.374,13.020,804,005
250708152043.378,14.040,812,220
250708152044.380,15.040,801,087
250708152045.384,16.040,794,318
250708152046.386,17.040,785,133
250708152047.386,18.040,793,342
250708152048.389,19.040,779,679
250708152049.390,20.040,770,062
250708152050.392,21.040,769,527
250708152051.394,22.040,788,446
250708152052.396,23.060,787,791
250708152053.400,24.060,806,401
250708152054.402,25.060,818,348
250708152055.405,26.060,834,524
250708152056.405,27.060,837,773
250708152057.407,28.060,851,430
250708152058.408,29.060,847,219
250708152059.410,30.060,855,473
250708152100.413,31.060,852,255
250708152101.414,32.060,841,950
250708152102.416,33.080,854,050
250708152103.416,34.080,850,297
250708152104.418,35.080,859,827
250708152105.420,36.080,859,165
250708152106.423,37.080,868,403
250708152107.424,38.080,858,603
250708152108.427,39.080,876,755
250708152109.427,40.080,886,415
250708152110.430,41.080,874,286
250708152111.433,42.080,863,761
250708152112.435,43.100,859,826
250708152113.436,44.100,838,135
250708152114.439,45.100,829,347
250708152115.441,46.100,815,223
250708152116.443,47.100,818,636
250708152117.445,48.100,816,783
250708152118.448,49.100,818,676
250708152119.452,50.100,811,526
250708152120.454,51.100,814,506
250708152121.455,52.100,833,320
250708152122.458,53.120,835,024
250708152123.459,54.120,827,793
250708152124.462,55.120,836,474
250708152125.465,56.120,845,661
