datetime,sessionTime,HR
250708152021.031,0.000,71
250708152030.347,1.000,72
250708152031.351,2.000,72
250708152032.353,3.000,72
250708152033.355,4.000,71
250708152034.357,5.020,71
250708152035.360,6.020,72
250708152036.361,7.020,71
250708152037.363,8.020,71
250708152038.363,9.020,71
250708152039.367,10.020,71
250708152040.368,11.020,71
250708152041.370,12.020,71
250708152042.374,13.020,70
250708152043.378,14.040,70
250708152044.380,15.040,70
250708152045.384,16.040,71
250708152046.385,17.040,71
250708152047.386,18.040,71
250708152048.389,19.040,71
250708152049.390,20.040,72
250708152050.392,21.040,72
250708152051.394,22.040,71
250708152052.396,23.060,71
250708152053.400,24.060,71
250708152054.401,25.060,70
250708152055.405,26.060,70
250708152056.405,27.060,70
250708152057.407,28.060,69
250708152058.408,29.060,69
250708152059.410,30.060,69
250708152100.413,31.060,69
250708152101.414,32.060,69
250708152102.416,33.080,69
250708152103.416,34.080,69
250708152104.418,35.080,68
250708152105.420,36.080,68
250708152106.423,37.080,68
250708152107.424,38.080,68
250708152108.427,39.080,68
250708152109.427,40.080,68
250708152110.430,41.080,68
250708152111.433,42.080,69
250708152112.435,43.100,69
250708152113.436,44.100,69
250708152114.439,45.100,70
250708152115.441,46.100,70
250708152116.443,47.100,70
250708152117.445,48.100,70
250708152118.448,49.100,70
250708152119.451,50.100,70
250708152120.454,51.100,70
250708152121.455,52.100,70
250708152122.458,53.120,69
250708152123.459,54.120,70
250708152124.462,55.120,70
250708152125.464,56.120,69
