datetime,sessionTime,type,message,details
250715150134.095,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250715150134.137,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250715150134.137,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250715150134.159,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250715150144.160,6.720,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250715150144.185,6.720,Screenshots,screen_1920x1080_2.jpg,NONE
250715150144.426,6.720,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250715150144.449,6.720,Screenshots,screen_1920x1080_3.jpg,NONE
250715150144.450,6.720,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250715150144.473,6.720,Screenshots,screen_1920x1080_4.jpg,NONE
250715150157.461,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250715150217.462,40.000,Screenshots,screen_1920x1080_6.jpg,NONE
250715150219.189,41.740,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250715150219.220,41.740,Screenshots,screen_1920x1080_7.jpg,NONE
250715150219.220,41.740,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250715150219.249,41.740,Screenshots,screen_1920x1080_8.jpg,NONE
250715150224.262,46.800,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250715150224.286,46.800,Screenshots,screen_1920x1080_9.jpg,NONE
250715150224.286,46.800,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250715150224.312,46.800,Screenshots,screen_1920x1080_10.jpg,NONE
250715150237.459,60.000,Screenshots,screen_1920x1080_11.jpg,NONE
250715150257.460,80.000,Screenshots,screen_1920x1080_12.jpg,NONE
250715150259.255,81.820,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250715150259.284,81.820,Screenshots,screen_1920x1080_13.jpg,NONE
250715150259.284,81.820,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250715150259.311,81.820,Screenshots,screen_1920x1080_14.jpg,NONE
250715150304.339,86.880,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250715150304.371,86.880,Screenshots,screen_1920x1080_15.jpg,NONE
25071515
