datetime,sessionTime,HR
250707232217.758,13.020,70
250707232218.755,14.020,71
250707232219.756,15.020,71
250707232220.758,16.020,70
250707232221.757,17.020,70
250707232222.759,18.020,70
250707232223.759,19.020,71
250707232224.765,20.040,70
250707232225.767,21.040,70
250707232226.768,22.040,70
250707232227.769,23.040,70
250707232228.770,24.040,71
250707232229.772,25.040,71
250707232230.773,26.040,71
250707232231.774,27.040,71
250707232232.774,28.040,71
250707232233.776,29.040,72
250707232234.780,30.040,72
250707232235.782,31.040,71
250707232236.782,32.040,71
250707232237.783,33.060,72
250707232238.784,34.060,72
250707232239.784,35.060,72
250707232240.786,36.060,72
250707232241.786,37.060,72
250707232242.786,38.060,72
250707232243.787,39.060,73
250707232244.787,40.060,72
250707232245.789,41.060,72
250707232246.790,42.060,73
250707232247.792,43.060,73
250707232248.792,44.060,72
250707232249.794,45.060,71
250707232250.795,46.060,71
250707232251.796,47.060,72
250707232252.799,48.060,72
250707232253.801,49.060,73
250707232254.801,50.060,73
250707232255.802,51.060,73
250707232256.801,52.060,72
250707232257.802,53.080,72
250707232258.804,54.080,72
250707232259.805,55.080,72
