datetime,sessionTime,RMSSD
250707232226.769,13.020,9.358
250707232226.769,14.020,9.358
250707232227.770,15.020,6.500
250707232228.770,16.020,7.172
250707232229.772,17.020,7.172
250707232230.773,18.020,7.579
250707232231.774,19.020,7.488
250707232232.774,20.040,5.719
250707232233.777,21.040,8.156
250707232234.780,22.040,8.471
250707232235.782,23.040,8.472
250707232236.782,24.040,8.473
250707232237.784,25.040,7.936
250707232238.784,26.040,7.739
250707232239.784,27.040,7.468
250707232240.786,28.040,7.500
250707232241.786,29.040,7.360
250707232242.787,30.040,4.516
250707232243.787,31.040,5.016
250707232244.787,32.040,5.592
250707232245.789,33.060,5.811
250707232246.790,34.060,7.071
250707232247.792,35.060,6.728
250707232248.792,36.060,6.914
250707232249.795,37.060,7.589
250707232250.795,38.060,7.638
250707232251.796,39.060,9.156
250707232252.799,40.060,8.722
250707232253.801,41.060,8.308
250707232254.801,42.060,8.155
250707232255.802,43.060,7.216
250707232256.801,44.060,8.779
250707232257.802,45.060,8.485
250707232258.804,46.060,7.895
250707232259.805,47.060,7.932
250707232300.024,48.060,7.932
250707232300.024,49.060,7.932
250707232300.024,50.060,7.932
250707232300.024,51.060,7.932
250707232300.024,52.060,7.932
250707232300.024,53.080,7.932
250707232300.024,54.080,7.932
250707232300.025,55.080,7.932
