datetime,sessionTime,ExciteOMeter
250707232300.026,13.020,0.03181
250707232300.026,14.020,0.08762
250707232300.026,15.020,0.47233
250707232300.026,16.020,0.34810
250707232300.026,17.020,0.35424
250707232300.026,18.020,0.27106
250707232300.026,19.020,0.33962
250707232300.026,20.040,0.53468
250707232300.026,21.040,0.20700
250707232300.026,22.040,0.17759
250707232300.026,23.040,0.17311
250707232300.026,24.040,0.24236
250707232300.026,25.040,0.26303
250707232300.026,26.040,0.35314
250707232300.026,27.040,0.41459
250707232300.026,28.040,0.44581
250707232300.026,29.040,0.63896
250707232300.026,30.040,0.77828
250707232300.026,31.040,0.74167
250707232300.026,32.040,0.72326
250707232300.026,33.060,0.75972
250707232300.026,34.060,0.69892
250707232300.026,35.060,0.78998
250707232300.026,36.060,0.77977
250707232300.026,37.060,0.66151
250707232300.026,38.060,0.63011
250707232300.026,39.060,0.47838
250707232300.026,40.060,0.46756
250707232300.026,41.060,0.48489
250707232300.026,42.060,0.59299
250707232300.026,43.060,0.74398
250707232300.026,44.060,0.44008
250707232300.026,45.060,0.38972
250707232300.026,46.060,0.45999
250707232300.026,47.060,0.58644
250707232300.026,48.060,0.61537
250707232300.026,49.060,0.62583
250707232300.026,50.060,0.62902
250707232300.026,51.060,0.65354
250707232300.026,52.060,0.57091
250707232300.026,53.080,0.58087
250707232300.026,54.080,0.56115
250707232300.026,55.080,0.53261
