datetime,sessionTime,type,message,details
250714201847.857,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250714201847.898,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250714201847.899,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250714201847.924,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250714201857.926,3.600,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250714201857.954,3.600,Screenshots,screen_1920x1080_2.jpg,NONE
250714201858.193,3.600,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250714201858.224,3.600,Screenshots,screen_1920x1080_3.jpg,NONE
250714201858.224,3.600,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250714201858.246,3.600,Screenshots,screen_1920x1080_4.jpg,NONE
250714201907.957,13.640,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250714201907.985,13.640,Screenshots,screen_1920x1080_5.jpg,NONE
250714201907.985,13.640,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250714201908.009,13.640,Screenshots,screen_1920x1080_6.jpg,NONE
250714201913.022,18.700,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250714201913.047,18.700,Screenshots,screen_1920x1080_7.jpg,NONE
250714201913.047,18.700,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250714201913.068,18.700,Screenshots,screen_1920x1080_8.jpg,NONE
250714201914.328,19.980,Screenshots,screen_1920x1080_9.jpg,NONE
250714201923.023,28.700,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250714201923.050,28.700,Screenshots,screen_1920x1080_10.jpg,NONE
250714201923.050,28.700,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250714201923.072,28.700,Screenshots,screen_1920x1080_11.jpg,NONE
250714201928.074,33.760,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250714201928.100,33.760,Screenshots,screen_1920x1080_12.jpg,NONE
250714201928.100,33.760,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250714201928.121,33.760,Screenshots,screen_1920x1080_13.jpg,NONE
