datetime,sessionTime,type,message,details
250707201509.686,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250707201509.738,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250707201509.739,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250707201509.763,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250707201519.769,10.100,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250707201519.802,10.100,Screenshots,screen_1920x1080_2.jpg,NONE
250707201519.804,10.100,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250707201519.827,10.100,Screenshots,screen_1920x1080_3.jpg,NONE
250707201519.827,10.100,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250707201519.850,10.100,Screenshots,screen_1920x1080_4.jpg,NONE
250707201529.693,20.000,Screenshots,screen_1920x1080_5.jpg,NONE
250707201529.806,20.140,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250707201529.831,20.140,Screenshots,screen_1920x1080_6.jpg,NONE
250707201529.831,20.140,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250707201529.854,20.140,Screenshots,screen_1920x1080_7.jpg,NONE
250707201534.855,25.180,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250707201534.881,25.180,Screenshots,screen_1920x1080_8.jpg,NONE
250707201534.883,25.180,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250707201534.905,25.180,Screenshots,screen_1920x1080_9.jpg,NONE
250707201544.857,35.180,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250707201544.883,35.180,Screenshots,screen_1920x1080_10.jpg,NONE
250707201544.883,35.180,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250707201544.905,35.180,Screenshots,screen_1920x1080_11.jpg,NONE
250707201549.696,40.000,Screenshots,screen_1920x1080_12.jpg,NONE
250707201549.908,40.240,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250707201549.936,40.240,Screenshots,screen_1920x1080_13.jpg,NONE
250707201549.936,40.240,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250707201549.958,40.240,Screenshots,screen_1920x1080_14.jpg,NONE
250707201559.910,50.240,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250707201559.938,50.240,Screenshots,screen_1920x1080_15.jpg,NONE
250707201559.938,50.240,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250707201559.961,50.240,Screenshots,screen_1920x1080_16.jpg,NONE
250707201604.963,55.300,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250707201604.991,55.300,Screenshots,screen_1920x1080_17.jpg,NONE
250707201604.992,55.300,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250707201605.015,55.300,Screenshots,screen_1920x1080_18.jpg,NONE
250707201609.697,60.000,Screenshots,screen_1920x1080_19.jpg,NONE
250707201614.964,65.300,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250707201614.991,65.300,Screenshots,screen_1920x1080_20.jpg,NONE
250707201614.992,65.300,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250707201615.016,65.300,Screenshots,screen_1920x1080_21.jpg,NONE
250707201615.016,65.300,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250707201615.043,65.300,Screenshots,screen_1920x1080_22.jpg,NONE
