datetime,sessionTime,RRi
250708200651.682,0.120,814,608
250708200652.682,1.120,813,877
250708200653.686,2.120,818,904
250708200654.687,3.120,806,359
250708200655.688,4.120,789,110
250708200656.691,5.120,805,417
250708200657.693,6.120,801,240
250708200658.693,7.120,800,078
250708200659.696,8.120,786,990
250708200700.699,9.120,774,142
250708200701.701,10.120,766,305
250708200702.703,11.140,780,650
250708200703.705,12.140,784,979
250708200704.707,13.140,774,564
250708200705.707,14.140,778,219
250708200706.709,15.140,784,015
250708200707.713,16.140,771,824
250708200708.713,17.140,771,501
250708200709.717,18.140,775,512
250708200710.721,19.140,764,315
250708200711.722,20.160,757,957
250708200712.725,21.160,766,070
250708200713.728,22.160,766,702
250708200714.730,23.160,766,694
250708200715.735,24.160,769,640
250708200716.735,25.160,767,265
250708200717.736,26.160,776,708
250708200718.737,27.160,779,409
250708200719.739,28.160,784,539
250708200720.742,29.180,770,524
250708200721.746,30.180,768,408
250708200722.751,31.180,786,909
250708200723.752,32.180,795,588
250708200724.755,33.180,788,726
250708200725.757,34.180,790,394
250708200726.757,35.180,790,183
250708200727.763,36.200,793,077
250708200728.763,37.200,800,033
250708200729.764,38.200,793,587
250708200730.765,39.200,803,375
250708200731.768,40.200,811,165
250708200732.769,41.200,817,829
250708200733.771,42.200,821,315
250708200734.775,43.200,831,262
250708200735.778,44.200,816,938
250708200736.781,45.220,816,801
250708200737.785,46.220,836,644
250708200738.786,47.220,833,770
250708200739.788,48.220,811,533
250708200740.793,49.220,822,675
250708200741.796,50.220,828,850
250708200742.798,51.220,834,546
250708200743.800,52.220,835,874
250708200744.803,53.240,831,669
250708200745.809,54.240,829,011
250708200746.810,55.240,840,422
250708200747.813,56.240,837,884
250708200748.814,57.240,834,090
250708200749.818,58.240,847,329
250708200750.821,59.240,836,688
250708200751.825,60.260,838,162
250708200752.827,61.260,846,820
250708200753.831,62.260,852,747
250708200754.834,63.260,857,137
