datetime,sessionTime,HR
250708200651.682,0.120,70
250708200652.682,1.120,70
250708200653.686,2.120,69
250708200654.687,3.120,70
250708200655.688,4.120,70
250708200656.691,5.120,70
250708200657.693,6.120,70
250708200658.693,7.120,70
250708200659.696,8.120,71
250708200700.699,9.120,71
250708200701.701,10.120,72
250708200702.702,11.140,71
250708200703.705,12.140,71
250708200704.707,13.140,71
250708200705.707,14.140,71
250708200706.709,15.140,71
250708200707.713,16.140,71
250708200708.713,17.140,71
250708200709.717,18.140,71
250708200710.721,19.140,71
250708200711.722,20.160,72
250708200712.725,21.160,71
250708200713.728,22.160,71
250708200714.730,23.160,71
250708200715.734,24.160,71
250708200716.735,25.160,71
250708200717.735,26.160,71
250708200718.737,27.160,71
250708200719.739,28.160,70
250708200720.742,29.180,71
250708200721.746,30.180,71
250708200722.751,31.180,70
250708200723.752,32.180,70
250708200724.755,33.180,70
250708200725.757,34.180,70
250708200726.757,35.180,70
250708200727.763,36.200,70
250708200728.763,37.200,69
250708200729.764,38.200,70
250708200730.765,39.200,69
250708200731.768,40.200,68
250708200732.769,41.200,68
250708200733.771,42.200,68
250708200734.775,43.200,67
250708200735.778,44.200,68
250708200736.781,45.220,68
250708200737.785,46.220,67
250708200738.786,47.220,68
250708200739.788,48.220,68
250708200740.793,49.220,68
250708200741.796,50.220,67
250708200742.798,51.220,67
250708200743.800,52.220,67
250708200744.803,53.240,67
250708200745.809,54.240,67
250708200746.810,55.240,67
250708200747.813,56.240,67
250708200748.814,57.240,67
250708200749.818,58.240,67
250708200750.821,59.240,67
250708200751.824,60.260,67
250708200752.826,61.260,67
250708200753.831,62.260,67
250708200754.834,63.260,66
